Time [s];Packet ID;Address;Data;Read/Write;ACK/NAK;
0.743903960000000;0;0x22;0x01;Write;ACK;
0.744850520000000;0;0x22;0x10;Write;ACK;
0.745797080000000;0;0x22;0x05;Write;ACK;
0.747918960000000;1;0x23;0x00;Read;NAK;
0.750864360000000;2;0x23;0x00;Read;NAK;
0.753809800000000;3;0x23;0x00;Read;NAK;
0.756800600000000;4;0x23;0x00;Read;NAK;
0.759746080000000;5;0x23;0x00;Read;NAK;
0.762691480000000;6;0x23;0x00;Read;NAK;
0.765682240000000;7;0x23;0x00;Read;NAK;
0.768627560000000;8;0x23;0x00;Read;NAK;
0.771572920000000;9;0x23;0x00;Read;NAK;
0.774518200000000;10;0x23;0x80;Read;NAK;
0.776655040000000;11;0x23;0x80;Read;NAK;
1.091.244.040.000.000;12;0x23;0x80;Read;NAK;
1.093.337.080.000.000;13;0x22;0x12;Write;ACK;SET_PROPERTY
1.094.283.560.000.000;13;0x22;0x00;Write;ACK;
1.095.230.040.000.000;13;0x22;0x40;Write;ACK;RX_HARD_MUTE
1.096.221.880.000.000;13;0x22;0x01;Write;ACK;
1.097.168.360.000.000;13;0x22;0x00;Write;ACK;
1.098.114.840.000.000;13;0x22;0x03;Write;ACK;
1.100.236.560.000.000;14;0x23;0x80;Read;NAK;
1.102.346.480.000.000;15;0x23;0x80;Read;NAK;
1.104.439.520.000.000;16;0x22;0x12;Write;ACK;SET_PROPERTY
1.105.386.000.000.000;16;0x22;0x00;Write;ACK;
1.106.332.520.000.000;16;0x22;0x14;Write;ACK;FM_SEEK_FREQ_
1.107.324.120.000.000;16;0x22;0x02;Write;ACK;SPACING
1.108.270.680.000.000;16;0x22;0x00;Write;ACK;
1.109.217.160.000.000;16;0x22;0x0A;Write;ACK;
1.111.338.960.000.000;17;0x23;0x80;Read;NAK;
1.113.448.600.000.000;18;0x23;0x80;Read;NAK;
1.115.541.720.000.000;19;0x22;0x12;Write;ACK;SET_PROPERTY
1.116.488.200.000.000;19;0x22;0x00;Write;ACK;
1.117.434.720.000.000;19;0x22;0x11;Write;ACK;FM_DEEMPHASIS
1.118.426.520.000.000;19;0x22;0x00;Write;ACK;
1.119.373.000.000.000;19;0x22;0x00;Write;ACK;
1.120.319.520.000.000;19;0x22;0x02;Write;ACK;
1.122.441.240.000.000;20;0x23;0x80;Read;NAK;
1.124.551.400.000.000;21;0x23;0x80;Read;NAK;
1.126.644.400.000.000;22;0x22;0x12;Write;ACK;SET_PROPERTY
1.127.590.920.000.000;22;0x22;0x00;Write;ACK;
1.128.537.400.000.000;22;0x22;0x14;Write;ACK;FM_SEEK_BAND_
1.129.529.240.000.000;22;0x22;0x00;Write;ACK;BOTTOM
1.130.475.720.000.000;22;0x22;0x22;Write;ACK;
1.131.422.240.000.000;22;0x22;0x2E;Write;ACK;
1.133.544.000.000.000;23;0x23;0x80;Read;NAK;
1.135.654.160.000.000;24;0x23;0x80;Read;NAK;
1.137.761.120.000.000;25;0x22;0x12;Write;ACK;SET_PROPERTY
1.138.693.640.000.000;25;0x22;0x00;Write;ACK;
